city_code,city
440200.0,韶关市
440300.0,深圳市
440400.0,珠海市
440500.0,汕头市
440600.0,佛山市
440700.0,江门市
440800.0,湛江市
440900.0,茂名市
441200.0,肇庆市
441300.0,惠州市
441400.0,梅州市
441500.0,汕尾市
441600.0,河源市
441700.0,阳江市
441800.0,清远市
441900.0,东莞市
442000.0,中山市
445100.0,潮州市
445200.0,揭阳市
445300.0,云浮市
450100.0,南宁市
450200.0,柳州市
450300.0,桂林市
450400.0,梧州市
450500.0,北海市
450600.0,防城港市
450700.0,钦州市
450800.0,贵港市
450900.0,玉林市
451000.0,百色市
451100.0,贺州市
451200.0,河池市
451300.0,来宾市
451400.0,崇左市
460100.0,海口市
460200.0,三亚市
500000.0,重庆市
510100.0,成都市
510300.0,自贡市
510400.0,攀枝花市
510500.0,泸州市
510600.0,德阳市
510700.0,绵阳市
510800.0,广元市
510900.0,遂宁市
511000.0,内江市
511100.0,乐山市
511300.0,南充市
511400.0,眉山市
511500.0,宜宾市
511600.0,广安市
511700.0,达州市
511800.0,雅安市
511900.0,巴中市
512000.0,资阳市
520100.0,贵阳市
520200.0,六盘水市
520300.0,遵义市
520400.0,安顺市
520500.0,毕节市
520600.0,铜仁市
530100.0,昆明市
530300.0,曲靖市
530400.0,玉溪市
530500.0,保山市
530600.0,昭通市
530700.0,丽江市
530800.0,普洱市
530900.0,临沧市
540100.0,拉萨市
610100.0,西安市
610200.0,铜川市
610300.0,宝鸡市
610400.0,咸阳市
610500.0,渭南市
610600.0,延安市
610700.0,汉中市
610800.0,榆林市
610900.0,安康市
611000.0,商洛市
620100.0,兰州市
620200.0,嘉峪关市
620300.0,金昌市
620400.0,白银市
620500.0,天水市
620600.0,武威市
620700.0,张掖市
620800.0,平凉市
620900.0,酒泉市
621000.0,庆阳市
621100.0,定西市
621200.0,陇南市
630100.0,西宁市
630200.0,海东市
632500.0,海南藏族自治州
640100.0,银川市
640200.0,石嘴山市
640300.0,吴忠市
640400.0,固原市
640500.0,中卫市
650100.0,乌鲁木齐市
